,vendor_qtycount,del_date_scheduled_yr,vendor_qtysum,vendor_qtymean,vendor_valsum,vendor_valmean,vendor_inssum,vendor_insmean,vendor_weightsum,vendor_weightmean,vendor_costsum,vendor_costmean
0,2,2006,38,19.0,1102.0,551.0,0.0049000000000000024,0.0024500000000000012,26.0,13.0,1639.8700000000001,819.9350000000001
1,2,2006,38,19.0,1102.0,551.0,0.0049000000000000024,0.0024500000000000012,26.0,13.0,1639.8700000000001,819.9350000000001
2,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
3,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
4,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
5,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
6,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
7,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
8,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
9,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
10,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
11,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
12,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
13,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
14,25,2006,334157,13366.28,2999909.9299999997,119996.39719999999,0.06125000000000003,0.0024500000000000012,29812.97819219384,1192.5191276877536,946951.605940985,37878.0642376394
