,brand_qtycount,del_date_scheduled_yr,brand_qtysum,brand_qtymean,brand_valsum,brand_valmean,brand_inssum,brand_insmean,brand_weightsum,brand_weightmean,brand_costsum,brand_costmean
0,2,2006,38,19.0,1102.0,551.0,0.0049000000000000024,0.0024500000000000012,26.0,13.0,1639.8700000000001,819.9350000000001
1,2,2006,38,19.0,1102.0,551.0,0.0049000000000000024,0.0024500000000000012,26.0,13.0,1639.8700000000001,819.9350000000001
2,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
3,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
4,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
5,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
6,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
7,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
8,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
9,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
10,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
11,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
12,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
13,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
14,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
15,30,2006,394776,13159.2,3506509.08,116883.636,0.07350000000000007,0.002450000000000002,33958.926156474845,1131.964205215828,2078343.3274361345,69278.11091453781
